username,komentar,Sentimen
@JohanKce,"Saya asli lumajang jawa timur....
Kita disini senang-senang saja....
Cuman kasihan saya sama kamu...mainmu kurang jau brow ngakak ",-1
@mjun4343,yang suka sound horeg coba telinganya pasang 2 sound horeg disebelahnya telinganya,-1
@agnosticperson9583,Apakah pecinta horeg itu telinganya BUDEG?,-1
@botpogo2085,"ini gua baru debat sama penggemar anomali ini di salah satu video youtube yang bahas masalah ini, sudah gua kasih contoh gmna kalau misalnya keluarga lu ada yang sakit atau ada yang rumahnya rusak gara gara sound horeg ini, dan percaya tidak percaya ya lebih dari 20 orang yang bales komen gua kebanyakan pada bilang kalau ada keluarga nya yang sakit terus ada sound horeg orang yang sakitnya yang di pindahin sama kalau ada rumah yang rusak ya tidak papa itu malah tandanya sound horegnya bagus, kan bangsat ya, kalau ada keluarga nya yang sakit masih bisa bisanya dukung horegnya, sama kalau rumah dia nya rusak malah bangga kalau suara horegnya kenceng banget, jadi ya yang gua lihat ini tuh jatuhnya sudah bebal saja orang orangnya, sudah paling bener di larang secara hukum",-1
@AsepMustofaIkhwanulJamil,"1. gua masih mencari-cari bukti nyata semua perusakan diganti kerugiannya... Banyak loh video hancur/rusak, tapi video penggantiannya? Not Found, kemarin malah ada konten horeg, dengan bangganya ""Semakin merusak, semakin di Sawer"", kemarin waktu di jakarta ada loh video gedung kaca jadi retak-retak, ada ganti ruginya juga tidak itu?
2. kemarin-kemarin juga viral, JELAS-JELAS ADA TAHLILAN, eh si Horeg ini malah tetep Jalan sambil Joget2 (terus mau ditutupin sama video ada anak kecil pakai tulisan ortu/nenek lagi sakit tolong dikecilkan.. PLEASE sudah ITU sudah MALEM, WAKTU ISTIRAHAT DAN ELU MALAH NGE-GANGGU WARGA, bukannya sadar diri malah makin jadi
3. hal aneh lainnya, gua sodorin genre musik lainnya malah lu tidak terima katanya mengganggu padahal suaranya cuman keluar dari speaker mini, bahkan HP, apalagi kalau bahasa inggris....",-1
@SLEEPERSEVERYDAY,"gua juga merasa tidak enak gitu kalau ada sound Horeg lewat, karena gua lebih nyaman dnegan ketenangan.",-1
@short-s3i,kenapa lagu nya son horeg mesti dj alay alay sihh,0
@y_tom,"Ini budaya bos.


Ucap mereka",0
@kurniawanup8033,"Tidak mabok tidak enak denger musik kenceng, dan bukanya itu termasuk pesta miras?, dan oknum yang ngamanin",-1
@faidahasanah7162,"Pencinta son horeg,
 langsung disepam saja vidio nya.",-1
@Samsularifin-kd9gb,Coba anda terjun langsung ke lapangan event sound horeg boss wawancarai owner rentalnya anda akan paham disana,1
@bennyeka603,"gua jawa tapi gua tidak suka dan benci banget sound horeg, mengganggu sekali, gua tinggal di perumahan jauh dari jalan umum, pas karnaval lewat jalan umum saja kedengaran sampai rumah getar-getar kaca, apalagi dekat jalan umum rumahnya, tidak kebayang gua, tidak jelas banget memang sound horeg ini apalagi dibarengi joget-joget pantat seperti di tiktok tidak suka banget anak kecil dilihatin goyang seperti gitu bagaimana mau jadi Indonesia emas 2045 ",-1
@ramandawalbariashar7014,"Penikmat Sound Horeg dengan segala sound system nya yang ditumpuk dan bass doang isinya : ""Ini budaya kami, hobby kami mahal !""

Penikmat Audiophile dengan Lossless music nya dan equipment Audio Ternamanya seperti Sennheiser, Audio Technica, Sony, AKG, Shure, Grado, Beyerdynamic + DAC AMP : ""Hmmm Ok terserah kalian saja deh""",0
@bambangmbang9120,Hahahaha aku orang jawa malang asli. gua sebagai sound men cuman bisa ketawa saja dengan percakapan isinya Hahahha,1
@vikisetiawan4797,Mungkin tempatnya saja seperti di lapangan terbuka gitu,1
@Kentutberdahak99,gua suka sekali bang apalagi kalau dibakar sekalian tuh speaker,-1
@inisial_r.,Sampean turun wawancarai positifnya adanya sound horeg terus baru komentar itu baru,1
@syaifudin2334,"Sebenarnya bukan budaya baru, saya kelahiran 90 sejak saya kecil di daerah kabupaten malang tepatnya rumah saya di kecamatan turen sound system horeg sudah digunakan untuk mengiringi kegiatan karnaval. Cuma bedanya dulu belum ada sosial media.",0
@robinjos9638,Monggo mas terjun langsung ke lapangan jangan asal bikin konten biar tau apa sebenarnya yang terjadi......,1
@dikckyuyeh90897,Jatim penuh SH   1.SH:Sound horeg 2.Sepeda herex 3.setia hati,0
@zuuuuii,"gua menolak kalau ini disebut budaya baru

Ini jelas polusi suara",-1
@EtiHendra,"Hobi kita memang SDM rendah,tapi  coba tonton dahulu sebelum berbicara",1
@MusTakim-v7n,Sebelum Anda mengomentari sound horeg harus terjun langsung ke tempat nya biar tau sisi positif dari sound horeg,1
@AnasArafat-ue9rb,"Karena orang kota asli tidak suka hiburan,,, tahu seperti gini langsung bacot hahahah",-1
@Bibidanblack-s7,Sangat terganggu. Untung di Belitung tidak ada seperti gini . Hama meresahkan,-1
@IlhamSanin-zm7yk,horeg lebih mirip vrindavan sih,-1
@BrebesArifRomadhon2003,"Mendengarkan nya terasa risau untuk publik yang merasa terganggu dan bangga untuk yang mendengarkan nya sambil merasakan hiburan yang kurang di cintai secara keseluruhan , lakukankanlah hal positif yang menciptakan kenyamanan di lingkungan publik dan itu sampai sekarang tak ada di Brebes , kekurangan nya pasti ada dalam mengaplikasikannya, ini kesenangan dan hal yang wajar dari kesenangan adalah kenyamanan , gua juga pencinta musik dan musik itu bagian yang menemani kala berseruput dengan kopi , seperti itulah menikmati alunan musik tanpa harus menganggu orang lain ",0
@doniesaputra7018,Menurut gua sound horeg.. perlu di lestarikan di jakarta dan di kota kota lainya...,1
@UmarulBid,"Maaf bang ...
Begi bang sound horeg atau pemilik sound horeg sebatas jasa dan disewa ...
Dan para soun horeg hanya mengikuti tuntutan"" Pasar khususnya di jawa timur ...
sekarang coba aku nanya bang ya KENAPA tidak penyewanya saja yang dikritik",1
@atomictypo,Saya orang Jawa dan saya tidak setuju adanya Sound Horeg.,-1
@muklisinimam8329,"Edukasi ya yang saya rasa masih kurang,,, 
untuk terselenggaranya sebuah event pastilah sudah melalui poin-poin berikut
1 panitia penyelenggara 
2 masyarakat yang akan mengadakan acara
3 anggaran dana iuran
4 rute yang akan dilewati 
5 izin aparat desa dan kepolisian
 
 poin ini pasti sudah dipegang sejak jauh-jauh hari kalau poin-poin ini tidak ada tidak lah mungkin bisa terselenggara.
Mirisnya kalau di sosial media mereka ini malah dihujat dengan kata-kata yang tidak mengenakan hati dengan kata-kata komentar yang sering saya jumpai mengganggu masyarakat padahal ini acara masyarakat dan dari masyarakat untuk masyarakat.",1
@ahmadbeidowi7809,Biar kontennya rame mending ngundang salah satu owner sound di jawa timur saran sih kalau berani,0
@maskunyuk9231,"Pasti ada orang yang tidak seneng sih tapi apa daya kalau mereka bilang keberatan akan itu ...., 
pasti tidak akan ada yang denger sih soalnya suara bass-nya kenceng gitu ",1
@bangdyki9323,"Tergantung yang mengoperasikan mas, kalau yang mengoperasikan bangsat tidak punya otak itu sound asu, tapi kalau yang mengoperasikan bisa berpikir aman saja mas...",-1
@ArdiansyahRans,"pernah beberapa tahun lalu hobi audio juga, tapi kalau gua yang portable walau cuma iem+dac dongle, kalau audio portable kan jelas yang dicari itu detail, resolusi, clarity, separasi, soundstage, low, mid, high, dll, nah pas tau ada sound horeg bingung gua, ini yang dicari apaan, itu semua yang gua sebutin sebelumnya busuk kalau di sound horeg, okelah katanya bass gede, memang gede, tapi itu pecah dan jelek tidak ada kualitasnya sama sekali, kuantitas doang, kualitas audio yang lainnya juga hadehh, itu tidak bisa dimasukin ke hobi audio sih, hobi ngerusak fasilitas umum sama kuping saja memang",-1
@mlbbnob859,"Aslinya sah sah saja parade sound horeg tapi di tempat lapangan yang jauh dari perumahan bukan malah diarak di perumahan,,yang sering diarak perumahan cuman mau caper aja",0
@novanoplekklewangvlog8761,"Saya domisili Jatim, suku Jawa tulen, saya pun salah 1 orang yang kontra dengan budaya-budaya ini.",-1
@shakamaynie,"Jujur saja nih, kadang pas denger sound nya tuh kaya dada gua sakit banget langsung anjir. Reflek menjauh juga kadang.",-1
@Clan80462,So tau,-1
@AriefSkalter,"Orang-orang pada takut gempa, ini malah bikin gempa",0
@truepoint8161,sound horeg kalau di mainkan di lapangan itu cocok tapi kalau lewat gang ya rusak lah rumah warga,-1
@metalkecil3935,Harusnya genre metalcore,0
@nandaliem6597,Tidak masalah asal di lapangan seperti apa gimana yang penting tidak mengganggu,0
@RamaKunNeko,Sound Horeg sama saja seperti Doger Monyet tapi dengan Speaker besar dan juga yang narinya Manusia,-1
@MusTakim-v7n,Kudukung sound horeg,1
@AnggaReza-c4m,Saran ya mas kalau mau membahas tentang sound horeg alangkah baiknya kmu harus temui narasumbernya langsung,1
@cubedot9228,Musik lebih memabukkan daripada alkohol,0
@mocubaidillahmansur19,"Wkwkwkw kalau cuma ambil data di media sosial mah memang banyak yang bahas sisi negatif nya saja, soalnya banyak media² di indo cuma nyari views nya doang, coba saja kau datang langsung ke lokasi dan tau kalau disitu banyak umkm yang jalan",1
@dobelmusikgank,Bang coba langsung cek saja di lokasi acara karnaval horeg cari info secara langsung gua yakin pendapat lo akan berbeda lagi tentang sound horeg ini,1
@IRAWAN413,Pengen viral bang  datang saja ke tempat sound horeg biar paham abang..jangan cuman katanya katanya tok jangan lihat di sosmed tok..kalau ingin abang lebih paham langsung datang ke pusatnya,0
@nurholis8842,Yang kocak lagi fansnya wkwkwk mereka sangat fanatik dan ber otak batu ... Dikasih nasehat sangat bebal awokawok pantes sih di sebut SDM RENDAH,0
@SCATTERR-d5k,Gak suka gausah di lihat di malang tidak ada yang terganggu kecuali di luar kabupaten malang karena sound horeg tercipta di malang jadi warga kabupaten malang terbiasa,1
@genxercommunity,Coba datang ke tempatnya langsung bro. Jangan asal,1
@niki.shinten,"saya orang desa juga orang Jawa, coba saja itu sound horeg masuk desa saya, saya jamin pulang-pulang sudah jadi abu",-1
@dimassaputra5607,ITU DISEWA OLEH MASYARAKAT kalau tidak DISEWA tidak BAKAL KELUAR. YANG DILEWATI OLEH SOUND HOREG JUGA DI DESA YANG DI SEWA. RISET DULU BOS SEBELUM KOMEN.,1
@MasBree30,Saya orang JAWA (solo) dan saya merasa TERGANGGU,-1
@PiaAgungenak,Alhamdulillah tidak tinggal di daerah itu,0
@larawaja,"Tebak provinsi dongg, hweheheh",0
@MusTakim-v7n,Sebelum Anda mengomentari sound horeg harus terjun langsung ke tempat nya biar tau sisi positif dari sound horeg,1
@ahmadchannel5012,modal sosmed saja untuk vidio looo coba buktikan kesini langsung brooo,1
@FrengkyAndeli,admin tidak tau fakta yang sebenarnya dilapangan sebaik amin channel terjun langsung biar anda paham sound horeg itu disewa warga satu desa satu kecamatan semua warga ikut iuran untuk mengadakan acara sound horeg jika sound horeg ini merusak kenapa setiap bulan ada atau kecamatan yang berbondong-bondong menyewa sound horeg pakai logika sendiri jika  sudah tau merusak mengapa warga sampai rela iuran sampai puluhan hingga ratusan juta untuk mendatangkan sound horeg,1
@shomhardyd.ishqal4776,Diiringi dengan pesilit pehesate,0
@LabibAbyan,Orang yang nyewa Sound sudah mempersiapkan uang ganti bg kalau ada kerusakan dirumah warga,1
@iwanbopeng876,Modal potongan video di dimedia sudah sok lu,-1
@WarijoBrc,Betawi...jakarta itu smua orang indonesia,0
@aliandoanam4014,"gua tunggu pencinta sound horeg mampir di komen, ingin gua maki",-1
@ffiru_zgaming.230,Katanya kalau rumah orang bisa sampai hancur lebur sawerannya makin gede katanya...terus rumah yang rusak sudah dibayar Katanya bener tidak sih...kalau dilihat dari video-video yang beredar dan lihat ekspresi yang punya rumah tidak seperti itu dah...kalau memang sudah dibayar rumah-rumahnya pasti ikhlas-ikhlas aja itu yang punya rumah...benar tidak sih..mohon penjelasannya dong yang punya sound seperti ini,0
@reygaalfarizie,Numpang viral kah boss kok bahas sound horeg,-1
@zulfikar5693,@Stevansyoung dulu sound horeg itu mulai ada tahun 2014 tapi kalau soal musik dj tapi tidak seperti ini deh aku dulu pernah lihat di YouTube tapi tidak seperti ini dulu.,0
@adityangawi6487,"petualang dan belajarnya kurang jauh makanya dianggap meresahkan dan tidak tahu tata cara perencanaan dari awal sampai akhir dan kurang 
Paham bahkan tidak paham sama sekali tata cara system sound horeg bahkan orang malang punya komunitas bisa datang ke markas mahardika riswanda sama brewog audio tentang sound horeq",1
@Zamartra637," Simulasi Sambut ""DAJJAL"" Datang Ke Indonesia ️🇮🇩",-1
@ri2kygaming723,"saranku ya 
Untuk pencinta hobi Yang tidak jelas dan mengganggu ini
Mending parade karnaval tahun 2025 Pada beli earphone dengarkan sendiri-sendiri agar tidak mengganggu.",-1
@brimob9605,Pendapatku jangan senggol-senggol acara sound-sound di jawa timur ya bikin konten yang lain saja,0
@imtristan2021,Njir Mending Suruh Mereka Beli Headset Dengerin Sendiri Cuk,-1
@OktaviaMiftah-p9w,Anjay ras lagi,0
@AzamuP24,"Aku suka lagu keras, lagunya keras banget. Tapi gua tidak ngajak orang-orang untuk ngerusak telinga bareng-bareng, gua mendengarkan sendiri itu lagu biarkan telinga gua sendiri saja yang rusak. 

Ban ajalan Horeg dari indo, tidak jelas banget",-1
@ARIEFROHMANEFENDI,Kediri hadir pak,0
@gendang898,Cek langsung ke lokasi karnaval.  nanti juga tau faktanya,1
@DJNNrevolutionReal,"Tidak semuanya merusak nya begitu saja bang disini biasanya sudah dimusyawarahkan bahwa penyewa atau panitia harus ganti rugi jika ada kerusakan 

Itu saja sih bang mungkin banyak yang suka dan tidak suka tapi ini sudah ada kesepakatan antara pemilik sound dan juga penyewa",1
@riskikikuk9370,"aku suka sound horeg yang model sebelum 2019 ke bawah tapi tidak untuk yang sekarang norak habis tidak ada kreatifitasnya,kalo orang dulu harus membuat sendiri dan merakit sendiri lalu diadu sama yang lain, tapi sekarang tinggal beli barang A,B,C,...Z langsung jadiapakah itu yang dinamakan kreativitas orang elektronik menurutku tidak",-1
@jivigourdha1164,"Kenapa bisa pro kontra, ya karena tidak sepaham, ada plus minus, kebanyakan yang dilihat minusnya aja. 
Gimana ya, saya suka-suka saja, tapi jika ada orang lain tidak suka ya saya biasa aja. 
Sound itu sewaan, jika di sewa sudah pasti yang nyewa juga suka, yang nyewa juga tidak 1 orang saja, tapi mayoritas 1 desa, jalur yang digunakan juga di desa penyewa. 
Di samping itu, dengan ada nya banyak karnaval, sudah pasti mengundang banyak orang untuk nonton, dengan banyaknya yang nonton, UMKM lokal bisa dapat untung yang besar, ini poin yang paling bagus menurutku.
Ini cuma sudut pandang saya saja,",1
@aangkusdiarta3188,"Harus di ingat ya  JAKARTA berdiri di atas pulau jawa  , jangan mudah bilang orang jawa timur jawa tengah dengan sebutan orang jawa, ingat itu ya!!!!!!!!",0
@wakandamlbb4918,"serius mau nanya, kenapa sih daerah jatim dan jateng banyak banget yang kelakuannya aneh-aneh ,bahkan banyak kasus yang bikin geleng-geleng kepala",-1
@madejuli9349,"Untung saya di bali tidak ada sound horeg ,",0
@CucuKetuaSekteEmei,Kalo merusak jembatan itu kan sudah diurus pihak panitia langsung diperbaiki. Aku tidak suka sound horeg tapi aku tidak benci juga,0
@paguyuban_npc,Sound horeg pakai headset,0
@mochandikwidianto854,"Menengah ke bawah,  harga sewanya 50 juta bos wkwk. Lu dugem habis berapa semalam ?",-1
@rikoivan4,"Risetmu kurang bang, dan lihat video hanya potongannya saja , 
Sebelum diadakannya acara sound horeg sudah dimusyawarakn oleh warga setempat, yang sewa masyarakat, yang dilewati kampung penyewa sendiri , balita dan orang sakit juga sudah dikondisikan , kerusakan fasilitas juga sudah ada pertanggung jawabannya , perizinan yang berwajib juga sudah, terus yang terganggu masyarakat mana, dan ini acara tahunan tidak setiap hari , terus abang dari jawa timur mana,,,?",1
@Pecelbalapaudio,"Sedikit info tentang horeg 
Sound horeg itu datangnya disewa bukan tiba-tiba datang dibunyikan.
Penyewa itu kan ya daerah yang dilewati karnaval itu. Jadi sebelum diadakan karnaval itu pasti disepakati bersama dulu satu kampung itu. Disepakati bersama kalau oke ya kita akan karnaval, kalau tidak oke ya kita tidak karnaval.
Daerah yang di kelilingi karnaval itu sebenarnya sudah oke semua. Kalau tidak oke itu pasti kita tidak ada acara karnaval
kita juga lihat kondisi juga mas kalau ada ruang rumah-rumah yang sempit itu terus ada anak kecil ya kita pelankan. Kita menyesuaikan lokasi tidak setiap saat kencang terus tidak
Hobi orang beda-beda kita harus menghargai hobi orang lain",1
@houseprediction2834,Sound horeq tradisi orang mana sih bos?,0
@masbyock3734,penonton di jakarta membludak.apa kamu tau mereka orang mana.. ngomong doang.. kamu terjun langsung ke owner sound system.. berani tidak,-1
@mochandikwidianto854,"Monggo kalo buat video tentang sound horeg minimal datang sendiri ke jawa timur, lihat sendiri seperti youtuber Dot Co , jangan bacot doang di youtube.",1
@morroco_egypt,sound horeg seharusnya ditiadakan.,-1
@triharyatiningsih,"Gua juga orang Jawa tapi, juga keganggu sound horeg berisik banget , kupingku rasanya pengen budeg",-1
@agoosSlibaw9306,"jawa jawa jawa,
btw gua orang jawa,tapi gua juga sudah muak denger sound horeg",-1
@cahmaguan1116,"SOUND HOREG SUDAH ADA SEJAK TAHUN 2015, TETAPI BARU VIRAL TAHUN 2022, KALIAN YANG BARU TAU tidak USAH KEBANYAKAN BACOT",-1
@anasjylo7505,Ingin tenar,0
@sanssanjaya8740,hobi para primitif.,-1
@mashendra2255,Mas coba turun langsung ke lapangan mas,1
@nabilarukaruan,"emang jakarta itu bukan jawa ya 
kok banyak yang menyudutkan jawa para penduduk jakarta. sedangkan mereka menginjak dan hidup di tanah jawa.
gua cuman kurang setuju dengan olokan yang membawa nama jawa. bukan salah jawanya juga.",0
@golegend9436,Itu speakerman musuhnya skibidy toilet,0
@rahmaayu2413,Malang losss ....,0
@MusTakim-v7n,Sound horeg tidak setiap hadir... sound horeg ada nya setiap tahun sekali,1
@MuseLikhun,"Segala sesuatu yang mengganggu dan merusak, tidak bakal suka lah",-1
@adamnur3075,Budaya asli jatim kan ya,0
@yela2469,sound horeg seleranya orang desa,-1
@adt2052,Kukira sound horeg ada pas 17an doang,0
@diankurniawan87,Selamat berkat sound horeg view anda akan naik drastis..,1
@Emulation_Plugins,"Saya Asli Kediri Jawa Timur, dan Saya termasuk Orang yang kurang Menyukai Sound Horreg,  tapi saya pribadi tidak terlalu masalah selama itu masih normal dan tidak mengganggu saya dan Keluarga, toh juga tidak setiap Hari. Alhamdulillah saya Pribadi tidak ada Masalah sama Sound Horreg. saya tidak suka Karena ya memang kurang  bisa menikmati aja.",0
@aammusrofa2003,"Serius nanya, enaknya son horeg apa sih ?",0
@whimaray3065,Sound horeg ini tidak apa apa. Asal tau tempat le. Bukan di gang atau di perkampungan. kalau sudah gitu ganggu namanya ,1
@AnggaReza-c4m,Lucu lo kalau mau bahas tentang sound horeg langsung ke narasumber cok,-1
@Clan80462,"Dirimu cari komen yang jelek-jelek saja,. Lapar lo ya",-1
@donridwan5770,Bang gua warga menengah tidak terima gua suka sound horeg sudah dibilang itu cocok untuk SDM RENDAH,-1
@MAZDONCHANNEL,Hahay,0
@Akunmati291,"Gini ya mas sebenarnya malas juga aku ngomongin soal ini 
Jadi gini
1.  sound horeg itu ada karena disewa oleh warga sekitar jadi ketika ada warga yang terganggu ngapain mereka sewa sound horeg
2. Kerusakan yang disebabkan oleh sound horeg itu sudah diganti rugi oleh warga yang sewa sound tersebut 

Jujur saja media yang meyebarkan berita tetang sound horeg itu rata-rata hoax karena mereka hanya mengambil video pendek lalu diberi narasi yang tidak sesuai di lokasi kejadian 
Jujur saja sound horeg di malang itu sudah memulihkan ekonomi di malang khususnya daerah kabupaten 
Aku sendiri selaku crew dari salah satu rental audio di malang sangat terbantu soal ekonomi 
Banyak kawan-kawan dari bidang make up kawan-kawan usaha sablon usaha costum pedagang kaki 5 tukang parkir tukang lightning bahkan pemulung pun merasakan dampak positif nya soal ekonomi 

Intinya sound horeg itu bukan asal-asalan dipasang terus di bawa keliling ke kampung-kampung

1 . Mereka disewa 
2. Mereka sudah ijin ke pihak keamanan 
3 .jika ada 1 warga yang tidak setuju mengadakan sound horeg maka acara tersebut tidak akan terlaksana",1
@karispriss5587,"Selalu dan selalu salah penyebutan kata horeg
Cara penyebutan yang benar ""E"" seperti pada kata menang
Bukan seperti pada video di atas",1
@delahelmania-mb5zm,serlok mas jawa timur mana... kalau karnaval itu musiman.. tidak setiap hari ada karnaval,1
@chanel_anyar_official,kenapa video yang diputar sing viral-viral  padahal sudah ada klarifikasi dari penyelenggara .,-1
@WISNU_DISJOCKEY,Hadehh China berulah,-1
@Sound_Balap_Indonesia.,"Gua saja tidak setuju cuk, sekarang mah sudah Fomo banget apalagi banyak remaja yang mabuk,",-1
@dimassaputra5607,"Hiburan yang murah? 
Orang rela iuran 3jt per orang agar bisa sewa sound horeg lo. 
kalau untuk ke atlas atau diskotik sepele",-1
@ndsmu6225,"Dengan minimnya literasi.... lalu menganggap diri kita lebih baik dari orng lain....???



Apakah itu yang di maksud SDM TINGGI wahai manusia modern...???",1
@calonlurah9087,"Kalau pun diijinkan kadesnya, warganya yang nolak bisa apa pasti tidak punya power ujung-ujungnya kalah ama si paling horeg,kades mah dikasih duit juga acc tuh acara tidak jelas",-1
@OtankGasstros-g5m,"Saya sih Suka Sound Horeg tapi Musiknya lagu metal,bluess,Jazz,Rock bukan seperti Musik Sound Horeg dan di lapangan saja lah jangan keliling kampung.",1
@wintermaple1818,Wah ini cuma vidio comot dan dari narasumber yang  kurang berimbang.... Alangkah baiknya turun langsung ke lokasi.tanya masyarakat yang di sekitar.. Tanya masyarakat yang terlibat lgsung bukan masyarakat  luar  ...,1
@farkhanfadil5487,Tapi katanya kerugian itu diganti sama panitia bang?,0
@salamdsalam5226,"Ayok terus kita suarakan untuk menyadarkan sound horeg itu mengganggu, harus dikasih batasan, kalau tidak bisa-bisa 100 subwoofer mereka bawa dalam karnaval, dibatasi sudah maksimal 9 box isi 24 inchi single. Jangan bawa 30 box atau bahkan lebih",-1
@cakebot8198,Warga yang mana ini,0
@distaofficial,adminya cari-cari Masalah saja. jatim ini bos loss horeg semoga sound horeg makin jaya selamanya amin... Aku tanya ke admin kau dapat video itu dari mana jawab jangan diam nyenggol-nyenggol sound horeg padahal sound horeg tidak pernah nyenggol hobi/kesenangan orang lain kalau kau pengen tahu berani tidak datang langsung ke malang aku tunggu video mu asli dari kamu sendiri jangan mencuri kamu itu cari masalah kamu ambil vidio yang negatif-negatif saja,-1
@andreasbudiraharja1641,"Tidak ada pronya , cuma polusi suara ",-1
@Rea-t2p,"Memang sih bikin sound 1 aja bisa habis 1 jt lebih, tapi ini berlebihan hobi ya hobi tidak perlu diarak di jalan, lebih ke pamer. Semua orang emang suka musik tapi cara nikmati beda-beda kalau diputar kencang ya jelas ganggu banget tidak semua orang terima sama musik yang lu puter",-1
@siutuh4650,Mudahan tidak masuk ke daerah gua saja sih,0
@에빈아난다,Tidak ada yang suka sound horeg sumpah. sound hoek iya,-1
@Sunshinenicee,Jatim core,0
@vends4555,Tangkap aja. Bubarin selesai. Mengganggu. perusak generasi,-1
@maskoclok4100,"Asli mengganggu , ",-1
@calonprogramer5106,Jowo,0
@1545390,"hobi sound horeg seperti orang gila... yah gimana pun di negara ini, segala keburukan adalah kebenaran saking umumnya orang orang pada memaklumi keburukan.,",-1
@bidin0058,jawatimur rendah hati lu hina lu bilang sdm rendah. terserah sound horeg tetap jaya,1
@shinryuki4275,Sound horeg tu budaya?,0
@Car3000itis,Percuma kawan-kawan kalian koar-koar ke pecinta sound horeg. Mereka lebih tuli daripada orang yang tuli,-1
@gaspolll826,"DI JATIM BANYAk spek kualitas sound konser yang orang kota idamkan , dan pasti setiap hari ada acara , untuk kaLangan mnengah ke atas dan SDM tinggi serta orng pinggiran kota , APAKAH KALIAN MAMPU SPERTI JATIM ???? ",-1
@MisviaGemoy,halahhhh tai,-1
@reygaalfarizie,"Jangan asal bacot bang kalau belum tau di lokasi
Datang saja ke malang bos kalau ingin tau yang jelas",-1
@sumardidi637,Selera beda bang..,1
@Raja-z7t,"Kalo misalnya di tanah lapang iya lah tidak ganggu masyarakat, lah ini di pemukiman warga kan bangsat",-1
@wkwkwkcuak,Aku suka sound horeg,1
@prfseriktalent7922,"Sebenernya tidak ada masalah jika pelaksanaannya di lapangan ataupun tempat terbuka. Asal jangan di jalan-jalan kampung, sound lu ganggu kocak... kasian noh kalau ada yang sakit. Rumah-rumah pada pecah kacanya. Coba mikir kalau itu rumah dia mungkin juga gedeg anjing",-1
@Lirik_lag-h7q,Yang mau cari lagu mampir,0
@batonsafarikukuh,Jujur saja memang sdm tinggi hiburannya di diskotik dan hotel-hotel berbintang sampai remang-remang di villa dll belum lagi sabu narkoba dll,-1
@renaldypalgunady5710,Mereka sangat menjijikan,-1
@rifkirosyada8383,"Yang dibaca cuma yang jelek, yang baik tidak",-1
@GenthoKilla-bf1jv,Gini amat pengen rame,-1
@Fisa_real-w6d,"berkali-kali dia mengatakan masyarakat menengah ke bawah, lah dia tidak tau kalau nyewa sound horeg bisa sampai 1-2 juta per orang. belum lagi sewa kostum seperti di gondanglegi bisa mencapai 2 jutaan",1
@FathurRozi-yz2qm,yang mana yang terganggu pdahal warga sendiri yang mendatangkan sound horeg,0
@aliandoanam4014,gua benci sound horeg,-1
@KhoirurRozikin-xt3bl,Cari panggung ini pansos lewat sound horeg yang banyak penggemarnya wkwk,-1
@calonceo2007,"1 Kata untuk sound Horeg 




































KAMPUNGAN ",-1
@cakebot8198,Wah berita hoax ini..asal ngomong aja. Tidak pernah lihat langsung,1
@calonprogramer5106,Jowo jowo,0
@oziel46motovlog99,Joss sound horeg.. Teruskan kalau bisa tambah 15 sub setiap karnaval,0
@AndreanHrds,Pansos,-1
@ekorattam88,"Datang,saksikan,nikmati baru ngereview bos katanya orang jatim tapi baca horeg ae horeg",1
@brugmusic4411,"Sound horeg karnaval itu disewa sedesa per rt mereka disewa dan ada panitia. yang dilewati itu rumah desa penyewa, kalau ada kerusakan diganti kalau ada kerusakan ada fasilitas umum mau dibongkar itu di musyawarahkan baru bongkar nanti diganti oleh panitia dan kegiatan sound ada izin-izinnya. Justru yang protes yang tidak nyewa yang tidak dilewati cuman lihat video ketika lagi merusak terus nilai.",1
@gratisan7707,Mending nonton langsung di malang atau daerah lain bang agar tahu,1
@bolopusat-v3d,"lu sudah pernah nonton langsung belum bang, kalau belum nonton mending tidak usah ikut ngereviuw lah,,kocakkkkk",-1
@m.novallm.novall22,Baru....anjay itu sejak 2018 cuy,0
@jarvisspecta8488,Rusak sih,-1
@oziel46motovlog99,"Keluar rumah dari mana.. Kita patungan untuk menyewa bro.. 
Joss sound horeg",1
@alymukson1632,Miris kalau tidak tahu sound horeg diam saja bang makanya datang ke malng,-1
@arekmalangselatan1210,Namanya juga Penghuni Planet mars mana tahu tentang sound Horeg Lucu Sdm tinggi ini,-1
@sabantorik4634,Bro mukalu KOTAK,-1
@AdiKampungrojo,Sound horeg itu yang tidak suka itu orang yang tidak tau orang luar daerah ..,0
@RajoLangit-v9d,"Kalau bicara yang real..
Jangan hanya bisa ngomong dari media..
Sini ketemu aku
Biar aku jelaskan
Jangan di balik layar ajaa looo",1
@antoklistanto7416,Jakarta juga ikut Jawa bang.,0
@Kenthuschannel87,Coba buktikan langsung dong jangan cuma tau dari sosmed doang berani apa tidak? terus tanya langsung warga setempat jangan cuma tau dari google doang,1
@rezai-bg5vo,Bang kalau mau tau datang  langsung saja ke Jawa timur,1
@karnokmuhamad4752,Biasa si paling sdm tinggi,-1
@user-mtmusik,Sini bos aku ajak ngopi bareng subscriber jutaan kalau tidak main langsung ke lokasi tidak asik bos nanti aku ceritain sampai detail dan aku ajak langsung ngelihat sendiri ke tempatnya jangan ngelihat di video aja,1
